PK_CALZADA,ACCIDENTES
24123636.0,6
515286.0,6
91025238.0,6
513195.0,6
24120035.0,6
91029221.0,6
170211.0,6
91014025.0,6
528116.0,6
522680.0,6
183019.0,6
507705.0,6
91032279.0,6
388717.0,6
602224.0,6
504610.0,6
502566.0,6
188191.0,6
91031774.0,6
91060611.0,6
510940.0,6
24120394.0,6
24120515.0,6
517821.0,6
91026861.0,6
91026534.0,6
522913.0,6
384929.0,6
530872.0,6
508700.0,6
24120354.0,6
511500.0,6
320146.0,6
146615.0,6
380490.0,6
24122886.0,6
24120093.0,6
175715.0,6
175849.0,6
530756.0,6
528062.0,6
383507.0,6
352182.0,6
24121088.0,6
365864.0,6
188704.0,6
521654.0,6
24121627.0,6
24122333.0,6
515164.0,6
518041.0,6
522366.0,6
142773.0,6
165747.0,6
516239.0,6
511087.0,6
507512.0,6
24122064.0,6
900174.0,6
91031049.0,6
91031202.0,6
514330.0,6
91033642.0,6
363692.0,6
91027096.0,6
364183.0,6
91025692.0,6
91025346.0,6
146915.0,6
24120007.0,6
524758.0,6
514598.0,6
521403.0,6
524286.0,6
91063558.0,6
146280.0,6
364492.0,6
24121580.0,6
361824.0,6
189119.0,6
91034553.0,6
159095.0,6
388853.0,6
502613.0,6
139768.0,6
385316.0,6
509194.0,6
506785.0,6
148122.0,6
411661.0,6
508952.0,6
527784.0,6
517999.0,6
91012169.0,6
91027232.0,6
603215.0,6
146287.0,6
91065503.0,6
155135.0,6
514929.0,6
482390.0,6
91027382.0,6
91010474.0,6
24123467.0,6
91022666.0,6
91021011.0,6
523571.0,6
604408.0,6
508550.0,6
387212.0,6
511667.0,6
91060617.0,6
145928.0,6
322910.0,6
91013357.0,6
24121577.0,6
91014033.0,6
351674.0,6
185300.0,6
91033887.0,6
91013250.0,6
24121266.0,6
521566.0,6
154307.0,6
172829.0,6
505187.0,6
601121.0,6
169813.0,5
173173.0,5
31093.0,5
50012964.0,5
91028596.0,5
471741.0,5
169459.0,5
239240.0,5
21121.0,5
91012584.0,5
91015309.0,5
526087.0,5
58158.0,5
91030165.0,5
91021029.0,5
33164.0,5
91025633.0,5
513258.0,5
515782.0,5
91033219.0,5
352924.0,5
239570.0,5
91026897.0,5
91013938.0,5
452229.0,5
509657.0,5
320972.0,5
91024976.0,5
91019786.0,5
511755.0,5
91014525.0,5
471408.0,5
91035076.0,5
513743.0,5
522882.0,5
385442.0,5
517957.0,5
518618.0,5
531079.0,5
514712.0,5
91017776.0,5
24122312.0,5
91027029.0,5
369267.0,5
91029695.0,5
502582.0,5
186540.0,5
201539.0,5
24123220.0,5
513688.0,5
444734.0,5
91023052.0,5
518519.0,5
380377.0,5
24122914.0,5
513241.0,5
153016.0,5
91030643.0,5
522162.0,5
506322.0,5
2506284.0,5
176276.0,5
515107.0,5
24119764.0,5
91013251.0,5
601917.0,5
24122471.0,5
412533.0,5
24122114.0,5
91017172.0,5
389918.0,5
523655.0,5
91021546.0,5
24122348.0,5
91029410.0,5
514555.0,5
385818.0,5
169241.0,5
441573.0,5
24121425.0,5
24180751.0,5
471627.0,5
527736.0,5
203799.0,5
187943.0,5
523367.0,5
178748.0,5
369374.0,5
24120985.0,5
91017161.0,5
154377.0,5
385841.0,5
503419.0,5
500266.0,5
525174.0,5
525843.0,5
24122381.0,5
159819.0,5
530911.0,5
91013496.0,5
91024234.0,5
410884.0,5
386196.0,5
518438.0,5
91032026.0,5
91033033.0,5
381688.0,5
24121984.0,5
367566.0,5
24120982.0,5
357504.0,5
148942.0,5
515184.0,5
512184.0,5
91026529.0,5
386357.0,5
480842.0,5
602975.0,5
