BARRIO,ACCIDENTES
LOS SAUCES,15
CAMPO HERMOSO,15
EL RUBI,15
SEMINARIO,14
QUESADA,14
LLANO GRANDE,14
BOSQUE DE PINOS,14
LAS VILLAS,14
SAN PATRICIO,14
NUEVO MUZU,14
RAFAEL ESCAMILLA,14
NIZA SUR,14
BOSQUES DE SAN JORGE,14
MONTEBELLO,14
RINCON DE LA VALVANERA,14
BELLAVISTA OCCIDENTAL,13
SIMON BOLIVAR,13
SAN JAVIER,13
SANTO DOMINGO,13
ACACIAS USAQUEN,13
LA GAITANA ORIENTAL,13
PASADENA,13
LA MERCED NORTE,13
SAN ANTONIO NOROCCIDENTAL,13
LAS BRISAS,13
CHAPINERO NORTE,13
GUADALUPE,13
MARRUECOS,13
MONACO,13
SAN JOSE DE BAVARIA,13
SAN BENITO,13
NUEVA ZELANDIA,13
LECH WALESA,13
LA CAMPINA,13
LOS ANDES,12
CANAIMA,12
LA SERENA,12
TIBABUYES UNIVERSAL,12
SANTA HELENA,12
EL REMANSO I,12
VISION DE ORIENTE,12
EL CHICO,12
COLSEGUROS,12
COLON,12
PUERTA AL LLANO DE USME,12
SANTA MATILDE,12
ESCUELA DE CARABINEROS,12
VICTORIA NORTE,12
ARBORIZADORA ALTA,12
LIBERTADOR,12
ESTRELLA,11
LA URIBE,11
PALERMO,11
POPULAR MODELO,11
PALO BLANCO,11
CEMENTERIO JARDINES APOGEO,11
POTRERILLO,11
LA SABANA,11
EL CHANCO RURAL II,11
CERROS DE ORIENTE,11
VILLA GLADYS,11
SAN ANTONIO NORTE,11
PRIMERO DE MAYO,11
SIERRA MORENA II,11
JUAN PABLO II,11
PARAMO I,11
BUENOS AIRES,11
LA ESTRELLITA,10
VEREDA EL TINTAL,10
VILLA HERMOSA,10
EL PROGRESO USME,10
SAN AGUSTIN,10
RENANIA URAPANES,10
LA CHUCUA,10
VELODROMO,10
TECHO,10
LA PATRIA,10
GUADUAL FONTIBON,10
SAN JOSE DE USAQUEN,10
SEVILLA,10
EL PENON DEL CORTIJO,10
MARCO FIDEL SUAREZ,10
SAN VICENTE,10
EL ROSARIO,10
MILLAN,10
TINTALITO,10
LOMBARDIA,10
EL CARMELO,10
DANUBIO,9
ANTONIA SANTOS,9
CENTRAL DE MEZCLAS,9
QUINTA MUTIS,9
LOS ROSALES,9
VERGEL OCCIDENTAL,9
GRANJAS SAN PABLO,9
OSPINA PEREZ,9
PRIMAVERA,9
PARAMO,9
LOS LAURELES II,9
SANTA ANA OCCIDENTAL,9
RINCON DE SANTA INES,9
TIBABITA RURAL,9
PARAISO QUIBA,9
LA RIVIERA,9
EL GACO,9
SAN BERNARDINO POTRERITOS,9
USAQUEN,9
EL MOCHUELO II URBANO,9
LOS TRES REYES,9
PORVENIR,9
PRADO VERANIEGO NORTE,9
ESCUELA MILITAR,9
MODELO SUR,8
CIUDAD BACHUE I ETAPA,8
CASA BLANCA SUBA I,8
LA CABRERA,8
ESTRELLA DEL SUR,8
TIMIZA C,8
EL ENCANTO,8
